id,user_id,plan,status,amount,currency,billing_cycle,start_date,end_date,trial_end,cancelled_at,stripe_subscription_id,stripe_customer_id,features,limits,created_at,updated_at
1,3,FREE,ACTIVE,0.00,USD,monthly,2025-09-15 12:22:26+00:00,,,,,,"['Basic searches', 'Basic filters', 'Email support']","{'searches_per_month': 50, 'api_calls_per_month': 0}",2025-09-15 12:22:26+00:00,2025-09-15 12:22:26+00:00
2,7,FREE,ACTIVE,0.00,USD,monthly,2025-09-15 15:58:03+00:00,,,,,,"['Basic searches', 'Basic filters', 'Email support']","{'searches_per_month': 50, 'api_calls_per_month': 0}",2025-09-15 15:58:03+00:00,2025-09-15 15:58:03+00:00
3,9,FREE,ACTIVE,0.00,USD,monthly,2025-09-28 12:05:06.387682+00:00,,,,,,"['Basic searches', 'Basic filters', 'Email support']","{'searches_per_month': 50, 'api_calls_per_month': 0}",2025-09-28 12:05:06.387682+00:00,2025-09-28 12:05:06.387682+00:00
