id,name,display_name,description,is_system_role,is_active,permissions,created_at,updated_at,created_by,updated_by
1,super_admin,Super Administrator,Full system access with all permissions,True,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
2,admin,Administrator,Administrative access to most system functions,True,True,"[2, 3, 6, 7, 11, 12, 15, 16, 19, 20, 23, 24, 27, 30, 34, 35, 36]",2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
3,moderator,Moderator,Moderate access to view and update content,True,True,"[2, 6, 7, 11, 12, 15, 19, 23, 30, 35]",2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
4,viewer,Viewer,Read-only access to view content,True,True,"[2, 6, 11, 15, 19, 23, 30]",2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
5,user,Regular User,Basic user access,True,True,"[6, 11, 15, 19, 23]",2025-09-16 11:49:33+00:00,2025-09-16 11:49:33+00:00,,
