id,person_id,total_cases,resolved_cases,unresolved_cases,favorable_cases,unfavorable_cases,mixed_cases,case_outcome,last_updated,created_at
57,39279,1,0,1,0,1,0,Mixed,2025-09-15 08:49:03+00:00,2025-09-13 12:43:42+00:00
58,39280,1,0,1,0,1,0,Mixed,2025-09-15 08:49:04+00:00,2025-09-13 12:43:42+00:00
59,39281,1,0,1,0,1,0,Mixed,2025-09-15 08:49:04+00:00,2025-09-13 12:43:42+00:00
60,39282,1,0,1,0,0,0,N/A,2025-09-13 12:45:52+00:00,2025-09-13 12:43:42+00:00
61,39283,1,0,1,0,1,0,Mixed,2025-09-15 08:49:04+00:00,2025-09-13 12:43:42+00:00
62,39284,1,0,1,0,1,0,Mixed,2025-09-15 08:49:04+00:00,2025-09-13 12:43:42+00:00
63,39285,1,0,1,0,1,0,Mixed,2025-09-15 08:49:04+00:00,2025-09-13 12:43:42+00:00
64,39286,1,0,1,0,0,0,N/A,2025-09-13 12:45:53+00:00,2025-09-13 12:43:42+00:00
65,39287,3,0,3,0,3,0,Mixed,2025-09-15 08:49:04+00:00,2025-09-13 12:43:42+00:00
66,39288,1,0,1,0,1,0,Mixed,2025-09-15 08:49:05+00:00,2025-09-13 12:43:42+00:00
67,39289,0,0,0,0,0,0,N/A,2025-09-13 12:45:53+00:00,2025-09-13 12:43:42+00:00
68,39290,0,0,0,0,0,0,N/A,2025-09-13 12:45:54+00:00,2025-09-13 12:43:42+00:00
69,39291,2,1,1,0,0,1,Mixed,2025-09-13 12:45:54+00:00,2025-09-13 12:43:42+00:00
70,39292,1,0,1,0,1,0,Mixed,2025-09-15 08:49:05+00:00,2025-09-13 12:43:42+00:00
71,39293,2,0,2,0,2,0,Mixed,2025-09-15 08:49:05+00:00,2025-09-13 12:43:42+00:00
72,39294,2,2,0,2,0,0,Favorable,2025-09-13 12:45:54+00:00,2025-09-13 12:43:42+00:00
73,39295,1,0,1,0,1,0,Mixed,2025-09-15 08:49:05+00:00,2025-09-13 12:43:42+00:00
74,39296,1,0,1,0,0,0,N/A,2025-09-13 12:45:54+00:00,2025-09-13 12:43:42+00:00
75,39297,1,0,1,0,0,0,N/A,2025-09-13 12:45:55+00:00,2025-09-13 12:43:42+00:00
76,39298,1,0,1,0,1,0,Mixed,2025-09-15 08:49:06+00:00,2025-09-13 12:43:42+00:00
77,39299,5,1,4,1,0,0,Favorable,2025-09-13 12:45:55+00:00,2025-09-13 12:43:42+00:00
78,39300,1,0,1,0,1,0,Mixed,2025-09-15 08:49:06+00:00,2025-09-13 12:43:42+00:00
79,39301,1,0,1,0,1,0,Mixed,2025-09-15 08:49:06+00:00,2025-09-13 12:43:42+00:00
80,39302,1,0,1,0,1,0,Mixed,2025-09-15 08:49:06+00:00,2025-09-13 12:43:42+00:00
81,39303,1,0,1,0,1,0,Mixed,2025-09-15 08:49:06+00:00,2025-09-13 12:43:42+00:00
82,39304,1,1,0,1,0,0,Mixed,2025-09-15 08:49:07+00:00,2025-09-13 12:43:42+00:00
83,39305,1,0,1,0,1,0,Mixed,2025-09-15 08:49:07+00:00,2025-09-13 12:43:42+00:00
84,39306,1,0,1,0,1,0,Mixed,2025-09-15 08:49:07+00:00,2025-09-13 12:43:42+00:00
85,39307,1,0,1,0,1,0,Mixed,2025-09-15 08:49:07+00:00,2025-09-13 12:43:42+00:00
86,39308,8,0,8,0,0,0,N/A,2025-09-13 12:45:57+00:00,2025-09-13 12:43:42+00:00
87,39309,1,0,1,0,1,0,Mixed,2025-09-15 08:49:07+00:00,2025-09-13 12:43:42+00:00
88,39310,1,0,1,0,1,0,Mixed,2025-09-15 08:49:07+00:00,2025-09-13 12:43:42+00:00
89,39311,1,0,1,0,1,0,Mixed,2025-09-15 08:49:08+00:00,2025-09-13 12:43:42+00:00
90,39312,1,0,1,0,1,0,Mixed,2025-09-15 08:49:08+00:00,2025-09-13 12:43:42+00:00
91,39313,2,1,1,1,1,0,Mixed,2025-09-15 08:49:08+00:00,2025-09-13 12:43:42+00:00
92,39314,1,0,1,0,0,0,N/A,2025-09-13 12:45:58+00:00,2025-09-13 12:43:42+00:00
93,39315,6,1,5,0,0,1,Mixed,2025-09-13 12:45:58+00:00,2025-09-13 12:43:42+00:00
94,39316,1,0,1,0,1,0,Mixed,2025-09-15 08:49:08+00:00,2025-09-13 12:43:42+00:00
95,39317,1,0,1,0,1,0,Mixed,2025-09-15 08:49:08+00:00,2025-09-13 12:43:42+00:00
96,39318,1,1,0,1,0,0,Favorable,2025-09-13 12:45:59+00:00,2025-09-13 12:43:42+00:00
97,39319,5,0,5,0,0,0,N/A,2025-09-13 12:45:59+00:00,2025-09-13 12:43:42+00:00
98,39320,1,0,1,0,0,0,N/A,2025-09-13 12:45:59+00:00,2025-09-13 12:43:42+00:00
99,39321,1,0,1,0,1,0,Mixed,2025-09-15 08:49:09+00:00,2025-09-13 12:43:42+00:00
100,39322,1,0,1,0,1,0,Mixed,2025-09-15 08:49:09+00:00,2025-09-13 12:43:42+00:00
101,39323,1,0,1,0,1,0,Mixed,2025-09-15 08:49:09+00:00,2025-09-13 12:43:42+00:00
102,39324,0,0,0,0,0,0,N/A,2025-09-13 12:45:59+00:00,2025-09-13 12:43:42+00:00
103,39325,1,1,0,0,0,1,Mixed,2025-09-13 12:46:00+00:00,2025-09-13 12:43:42+00:00
104,39326,1,0,1,0,1,0,Mixed,2025-09-15 08:49:09+00:00,2025-09-13 12:43:42+00:00
105,39327,1,0,1,0,0,0,N/A,2025-09-13 12:46:00+00:00,2025-09-13 12:43:42+00:00
106,39328,1,0,1,0,1,0,Mixed,2025-09-15 08:49:10+00:00,2025-09-13 12:43:42+00:00
107,39329,1,0,1,0,1,0,Mixed,2025-09-15 08:49:10+00:00,2025-09-13 12:43:42+00:00
108,39330,1,0,1,0,0,0,N/A,2025-09-13 12:46:00+00:00,2025-09-13 12:43:42+00:00
109,39331,1,1,0,1,0,0,Mixed,2025-09-15 08:49:10+00:00,2025-09-13 12:43:42+00:00
110,39332,1,1,0,0,1,0,Unfavorable,2025-09-13 12:46:01+00:00,2025-09-13 12:43:42+00:00
111,39333,1,0,1,0,1,0,Mixed,2025-09-15 08:49:10+00:00,2025-09-13 12:43:42+00:00
112,39334,5,2,3,2,0,0,Favorable,2025-09-13 12:46:01+00:00,2025-09-13 12:43:42+00:00
113,39335,1,0,1,0,1,0,Mixed,2025-09-15 08:49:11+00:00,2025-09-13 12:43:42+00:00
114,39336,1,0,1,0,1,0,Mixed,2025-09-15 08:49:11+00:00,2025-09-13 12:43:42+00:00
115,39337,1,0,1,0,1,0,Mixed,2025-09-15 08:49:11+00:00,2025-09-13 12:43:42+00:00
116,39338,0,0,0,0,0,0,N/A,2025-09-13 12:46:01+00:00,2025-09-13 12:43:42+00:00
117,39339,1,0,1,0,1,0,Mixed,2025-09-15 08:49:11+00:00,2025-09-13 12:43:42+00:00
118,39340,1,1,0,1,0,0,Favorable,2025-09-13 12:46:02+00:00,2025-09-13 12:43:42+00:00
119,39341,1,1,0,0,1,0,Unfavorable,2025-09-13 12:46:02+00:00,2025-09-13 12:43:42+00:00
120,39342,1,0,1,0,1,0,Mixed,2025-09-15 08:49:12+00:00,2025-09-13 12:43:42+00:00
121,39343,1,0,1,0,1,0,Mixed,2025-09-15 08:49:12+00:00,2025-09-13 12:43:42+00:00
122,39344,1,0,1,0,1,0,Mixed,2025-09-15 08:49:12+00:00,2025-09-13 12:43:42+00:00
123,39345,2,0,2,0,2,0,Mixed,2025-09-15 08:49:12+00:00,2025-09-13 12:43:42+00:00
124,39346,1,0,1,0,1,0,Mixed,2025-09-15 08:49:12+00:00,2025-09-13 12:43:42+00:00
125,39347,1,0,1,0,1,0,Mixed,2025-09-15 08:49:12+00:00,2025-09-13 12:43:42+00:00
126,39348,1,0,1,0,1,0,Mixed,2025-09-15 08:49:12+00:00,2025-09-13 12:43:42+00:00
127,39349,1,0,1,0,1,0,Mixed,2025-09-15 08:49:12+00:00,2025-09-13 12:43:42+00:00
128,39350,0,0,0,0,0,0,N/A,2025-09-13 12:46:03+00:00,2025-09-13 12:43:42+00:00
129,39351,1,0,1,0,1,0,Mixed,2025-09-15 08:49:13+00:00,2025-09-13 12:43:42+00:00
130,39352,1,0,1,0,1,0,Mixed,2025-09-15 08:49:13+00:00,2025-09-13 12:43:42+00:00
131,39353,1,0,1,0,1,0,Mixed,2025-09-15 08:49:13+00:00,2025-09-13 12:43:42+00:00
132,39354,2,0,2,0,2,0,Mixed,2025-09-15 08:49:13+00:00,2025-09-13 12:43:42+00:00
133,39355,1,0,1,0,1,0,Mixed,2025-09-15 08:49:13+00:00,2025-09-13 12:43:42+00:00
134,39356,1,0,1,0,0,0,N/A,2025-09-13 12:46:04+00:00,2025-09-13 12:43:42+00:00
135,39357,0,0,0,0,0,0,N/A,2025-09-13 12:46:04+00:00,2025-09-13 12:43:42+00:00
136,39358,7,6,1,4,2,0,Mixed,2025-09-13 12:46:04+00:00,2025-09-13 12:43:42+00:00
137,39359,0,0,0,0,0,0,N/A,2025-09-13 12:46:04+00:00,2025-09-13 12:43:42+00:00
138,39360,1,0,1,0,1,0,Mixed,2025-09-15 08:49:14+00:00,2025-09-13 12:43:42+00:00
139,39361,1,0,1,0,1,0,Mixed,2025-09-15 08:49:14+00:00,2025-09-13 12:43:42+00:00
140,39362,1,0,1,0,1,0,Mixed,2025-09-15 08:49:14+00:00,2025-09-13 12:43:42+00:00
141,39363,1,0,1,0,0,0,N/A,2025-09-13 12:46:05+00:00,2025-09-13 12:43:42+00:00
142,39364,1,1,0,1,0,0,Favorable,2025-09-13 12:46:05+00:00,2025-09-13 12:43:42+00:00
143,39365,2,0,2,0,0,0,N/A,2025-09-13 12:46:06+00:00,2025-09-13 12:43:42+00:00
144,39366,1,0,1,0,1,0,Mixed,2025-09-15 08:49:15+00:00,2025-09-13 12:43:42+00:00
145,39367,0,0,0,0,0,0,N/A,2025-09-13 12:46:06+00:00,2025-09-13 12:43:42+00:00
